instance,policy,budget,seed,resolved_policy,resolution_reason,source_run_id,status,incumbent,ttff,elapsed,gap_vs_opt
csched007,budgeted_portfolio,60,2,boltzmann_adaptive,budget<=180,p45_csched007_boltzmann_adaptive_b60_s2_1788020317,node_limit,,,22.015447958023287,
csched007,instance_aware_portfolio,60,2,boltzmann_adaptive,frac_count=84<5000,p45_csched007_boltzmann_adaptive_b60_s2_1788020317,node_limit,,,22.015447958023287,
csched007,multi_feature_portfolio,60,2,boltzmann_adaptive,votes=0/4,p45_csched007_boltzmann_adaptive_b60_s2_1788020317,node_limit,,,22.015447958023287,
csched007,budgeted_portfolio,300,0,best_estimate,budget>180,p45_csched007_best_estimate_b300_s0_1788020342,node_limit,,,18.014160624996293,
csched007,instance_aware_portfolio,300,0,best_estimate,budget>180,p45_csched007_best_estimate_b300_s0_1788020342,node_limit,,,18.014160624996293,
csched007,multi_feature_portfolio,300,0,best_estimate,budget>180,p45_csched007_best_estimate_b300_s0_1788020342,node_limit,,,18.014160624996293,
csched007,budgeted_portfolio,300,1,best_estimate,budget>180,p45_csched007_best_estimate_b300_s1_1788020367,node_limit,,,15.424012125004083,
csched007,instance_aware_portfolio,300,1,best_estimate,budget>180,p45_csched007_best_estimate_b300_s1_1788020367,node_limit,,,15.424012125004083,
csched007,multi_feature_portfolio,300,1,best_estimate,budget>180,p45_csched007_best_estimate_b300_s1_1788020367,node_limit,,,15.424012125004083,
csched007,budgeted_portfolio,300,2,best_estimate,budget>180,p45_csched007_best_estimate_b300_s2_1788020392,node_limit,,,17.71757079201052,
csched007,instance_aware_portfolio,300,2,best_estimate,budget>180,p45_csched007_best_estimate_b300_s2_1788020392,node_limit,,,17.71757079201052,
csched007,multi_feature_portfolio,300,2,best_estimate,budget>180,p45_csched007_best_estimate_b300_s2_1788020392,node_limit,,,17.71757079201052,
csched007,budgeted_portfolio,900,0,best_estimate,budget>180,p45_csched007_best_estimate_b900_s0_1788020417,node_limit,,,18.01264379202621,
csched007,instance_aware_portfolio,900,0,best_estimate,budget>180,p45_csched007_best_estimate_b900_s0_1788020417,node_limit,,,18.01264379202621,
csched007,multi_feature_portfolio,900,0,best_estimate,budget>180,p45_csched007_best_estimate_b900_s0_1788020417,node_limit,,,18.01264379202621,
csched007,budgeted_portfolio,900,1,best_estimate,budget>180,p45_csched007_best_estimate_b900_s1_1788020445,node_limit,,,15.443896916985977,
csched007,instance_aware_portfolio,900,1,best_estimate,budget>180,p45_csched007_best_estimate_b900_s1_1788020445,node_limit,,,15.443896916985977,
csched007,multi_feature_portfolio,900,1,best_estimate,budget>180,p45_csched007_best_estimate_b900_s1_1788020445,node_limit,,,15.443896916985977,
csched007,budgeted_portfolio,900,2,best_estimate,budget>180,p45_csched007_best_estimate_b900_s2_1788020470,node_limit,,,17.699781082978006,
csched007,instance_aware_portfolio,900,2,best_estimate,budget>180,p45_csched007_best_estimate_b900_s2_1788020470,node_limit,,,17.699781082978006,
csched007,multi_feature_portfolio,900,2,best_estimate,budget>180,p45_csched007_best_estimate_b900_s2_1788020470,node_limit,,,17.699781082978006,
csched008,budgeted_portfolio,10,0,boltzmann_adaptive,budget<=180,p45_csched008_boltzmann_adaptive_b10_s0_1788020497,time_limit,,,10.006017167004757,
csched008,instance_aware_portfolio,10,0,boltzmann_adaptive,frac_count=81<5000,p45_csched008_boltzmann_adaptive_b10_s0_1788020497,time_limit,,,10.006017167004757,
csched008,multi_feature_portfolio,10,0,boltzmann_adaptive,votes=0/4,p45_csched008_boltzmann_adaptive_b10_s0_1788020497,time_limit,,,10.006017167004757,
csched008,budgeted_portfolio,10,1,boltzmann_adaptive,budget<=180,p45_csched008_boltzmann_adaptive_b10_s1_1788020508,time_limit,,,10.006599791988265,
csched008,instance_aware_portfolio,10,1,boltzmann_adaptive,frac_count=79<5000,p45_csched008_boltzmann_adaptive_b10_s1_1788020508,time_limit,,,10.006599791988265,
csched008,multi_feature_portfolio,10,1,boltzmann_adaptive,votes=0/4,p45_csched008_boltzmann_adaptive_b10_s1_1788020508,time_limit,,,10.006599791988265,
csched008,budgeted_portfolio,10,2,boltzmann_adaptive,budget<=180,p45_csched008_boltzmann_adaptive_b10_s2_1788020522,time_limit,,,10.006530457991175,
csched008,instance_aware_portfolio,10,2,boltzmann_adaptive,frac_count=76<5000,p45_csched008_boltzmann_adaptive_b10_s2_1788020522,time_limit,,,10.006530457991175,
csched008,multi_feature_portfolio,10,2,boltzmann_adaptive,votes=0/4,p45_csched008_boltzmann_adaptive_b10_s2_1788020522,time_limit,,,10.006530457991175,
csched008,budgeted_portfolio,60,0,boltzmann_adaptive,budget<=180,p45_csched008_boltzmann_adaptive_b60_s0_1788020541,node_limit,,,20.604710790968966,
csched008,instance_aware_portfolio,60,0,boltzmann_adaptive,frac_count=81<5000,p45_csched008_boltzmann_adaptive_b60_s0_1788020541,node_limit,,,20.604710790968966,
csched008,multi_feature_portfolio,60,0,boltzmann_adaptive,votes=0/4,p45_csched008_boltzmann_adaptive_b60_s0_1788020541,node_limit,,,20.604710790968966,
csched008,budgeted_portfolio,60,1,boltzmann_adaptive,budget<=180,p45_csched008_boltzmann_adaptive_b60_s1_1788020563,node_limit,189.0,15.169954832992516,21.154573957959656,
