instance,policy,budget,seed,status,status_family,incumbent,optimum,gap_vs_opt,final_gap,nodes,ttff,elapsed,root_fractional_count,root_fractional_ratio,root_integer_variable_count,root_solve_seconds,root_integrality_gap_l1,root_binary_near_integral_ratio,root_binary_midpoint_ratio
academictimetablesmall,safeguarded_hybrid,10,1,time_limit,time_limit,,0.0,,,13,,10.001360333000775,5250,0.1814976146027795,28926,7.0006892500096,0.014538896733832463,0.9605199474521192,0.026550508193320888
academictimetablesmall,safeguarded_hybrid,10,2,time_limit,time_limit,,0.0,,,13,,10.001516749965958,5258,0.18177418239645993,28926,7.008768792031333,0.014922302349535189,0.9589988245868769,0.027172785729101846
academictimetablesmall,safeguarded_hybrid,300,0,node_limit,node_limit,,0.0,,,401,,134.59770208399277,4991,0.1725437322823757,28926,7.006983665982261,0.014855599880935308,0.9613150798589504,0.027172785729101846
academictimetablesmall,safeguarded_hybrid,300,1,node_limit,node_limit,,0.0,,,401,,136.63444925000658,5250,0.1814976146027795,28926,7.012827791972086,0.014538896733832463,0.9605199474521192,0.026550508193320888
academictimetablesmall,safeguarded_hybrid,300,2,node_limit,node_limit,,0.0,,,401,,136.13937295903452,5258,0.18177418239645993,28926,7.003940875001717,0.014922302349535189,0.9589988245868769,0.027172785729101846
academictimetablesmall,safeguarded_hybrid,60,0,time_limit,time_limit,,0.0,,,193,,60.038424834026955,4991,0.1725437322823757,28926,7.003917249967344,0.014855599880935308,0.9613150798589504,0.027172785729101846
academictimetablesmall,safeguarded_hybrid,60,1,time_limit,time_limit,,0.0,,,195,,60.206891541951336,5250,0.1814976146027795,28926,7.039922832977027,0.014538896733832463,0.9605199474521192,0.026550508193320888
academictimetablesmall,safeguarded_hybrid,60,2,time_limit,time_limit,,0.0,,,195,,60.00265391601715,5258,0.18177418239645993,28926,7.023401833022945,0.014922302349535189,0.9589988245868769,0.027172785729101846
academictimetablesmall,safeguarded_hybrid,900,0,node_limit,node_limit,,0.0,,,401,,134.73663295799633,4991,0.1725437322823757,28926,6.999665541981813,0.014855599880935308,0.9613150798589504,0.027172785729101846
academictimetablesmall,safeguarded_hybrid,900,1,node_limit,node_limit,,0.0,,,401,,136.3803171669715,5250,0.1814976146027795,28926,7.000166459009051,0.014538896733832463,0.9605199474521192,0.026550508193320888
academictimetablesmall,safeguarded_hybrid,900,2,node_limit,node_limit,,0.0,,,401,,134.05922024999745,5258,0.18177418239645993,28926,6.99675654101884,0.014922302349535189,0.9589988245868769,0.027172785729101846
air05,best_bound,10,0,time_limit,time_limit,26611.0,26374.0,0.008986122696595131,0.0014619804556294772,123,0.19864812499145046,10.025153458991554,224,0.03113273106323836,7195,0.10319104202790186,0.00642717671054123,0.9751216122307158,0.011396803335649757
air05,best_bound,10,0,time_limit,time_limit,26611.0,26374.0,0.008986122696595131,0.004019972575103547,117,0.21205566602293402,10.028497457969934,224,0.03113273106323836,7195,0.11498062498867512,0.00642717671054123,0.9751216122307158,0.011396803335649757
air05,best_bound,10,1,time_limit,time_limit,26611.0,26374.0,0.008986122696595131,0.004019972575103547,117,0.21025524998549372,10.002888541959692,224,0.03113273106323836,7195,0.11363166599767283,0.00642717671054123,0.9751216122307158,0.011396803335649757
